brazo,condicion,realizacion,semilla_base,semilla,puntuacion
V_PAPER,b,prueba,20260827,200015,0.491486843130859
V_PAPER,b,prueba,20260827,200016,0.688076498045519
V_PAPER,b,prueba,20260827,200017,0.978699723435815
V_PAPER,b,prueba,20260827,200018,0.993929523904322
V_PAPER,b,prueba,20260827,200019,0.971443910462433
V_PAPER,b,prueba,20260827,200020,1.0
V_PAPER,b,prueba,20260827,200021,0.982106951161762
V_PAPER,b,prueba,20260827,200022,0.988205400701813
V_PAPER,b,prueba,20260827,200023,1.0
V_PAPER,b,prueba,20260827,200024,1.0
V_PAPER,b,prueba,20260827,200025,0.986632015049277
V_PAPER,b,prueba,20260827,200026,0.96704465606337
V_PAPER,b,prueba,20260827,200027,0.675159386252485
V_PAPER,b,prueba,20260827,200028,0.710488155398303
V_PAPER,b,prueba,20260827,200029,1.0
V_PAPER,b,prueba,20260827,200030,1.0
V_PAPER,b,prueba,20260827,200031,0.625493552498971
V_PAPER,b,prueba,20260827,200032,0.980448856580934
V_PAPER,b,prueba,20260827,200033,0.945711108558047
V_PAPER,b,prueba,20260827,200034,1.0
V_PAPER,b,prueba,20260827,200035,1.0
V_PAPER,b,prueba,20260827,200036,1.0
V_PAPER,b,prueba,20260827,200037,0.685485672552093
V_PAPER,b,prueba,20260827,200038,0.691528651016296
V_PAPER,b,prueba,20260827,200039,1.0
V_PAPER,b,prueba,20260827,200040,0.660515635621904
V_PAPER,b,prueba,20260827,200041,1.0
V_PAPER,b,prueba,20260827,200042,0.563490341719957
V_PAPER,b,prueba,20260827,200043,0.943494620950544
V_PAPER,b,prueba,20260827,200044,1.0
V_PAPER,b,prueba,20260827,200045,0.929926093324977
V_PAPER,b,prueba,20260827,200046,0.987647942194728
V_PAPER,b,prueba,20260827,200047,0.995353308447023
V_PAPER,b,prueba,20260827,200048,0.990763013851059
V_PAPER,b,prueba,20260827,200049,0.00392250381114464
V_PAPER,b,ruido_b,20260831,200000,0.62086877549935
V_PAPER,b,ruido_b,20260831,200001,1.0
V_PAPER,b,ruido_b,20260831,200002,1.0
V_PAPER,b,ruido_b,20260831,200003,0.671547116204177
V_PAPER,b,ruido_b,20260831,200004,0.628800626592003
V_PAPER,b,ruido_b,20260831,200005,0.461670039849217
V_PAPER,b,ruido_b,20260831,200006,0.711084709788922
V_PAPER,b,ruido_b,20260831,200007,0.700186699987899
V_PAPER,b,ruido_b,20260831,200008,1.0
V_PAPER,b,ruido_b,20260831,200009,1.0
V_PAPER,b,ruido_b,20260831,200010,0.713079602998598
V_PAPER,b,ruido_b,20260831,200011,0.610257585112818
V_PAPER,b,ruido_b,20260831,200012,0.978820414352834
V_PAPER,b,ruido_b,20260831,200013,1.0
V_PAPER,b,ruido_b,20260831,200014,1.0
V_PAPER,b,ruido_b,20260831,200015,1.0
V_PAPER,b,ruido_b,20260831,200016,0.681345841120178
V_PAPER,b,ruido_b,20260831,200017,0.987188808102147
V_PAPER,b,ruido_b,20260831,200018,1.0
V_PAPER,b,ruido_b,20260831,200019,1.0
V_PAPER,b,ruido_b,20260831,200020,1.0
V_PAPER,b,ruido_b,20260831,200021,0.995613850971237
